alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version,Closest Airport Name,Closest Airport Code,Closest Distance (nm)
0.0,7200,7650.0,,A3,1,none,C2015   ,222.5,2.0,ae5dee,26.21673,-97.56266,12431383,[],10.0,2.0,,0.0,1016.0,10.0,1.0,2015,25.0,-20.8,2.0,0.5,0.52,3.0,perhour,0.0,4166.0,C30J,[],35.12,adsb_icao,2.0,Valley International Airport,KHRL,5.0
0.0,100,150.0,0.0,A7,1,none,C6051   ,46.2,2.0,ae4e03,27.972309,-82.84343,2741133,[],11.0,1.0,,,,9.0,1.0,6051,75.0,-3.6,2.0,0.2,0.19,3.0,perhour,0.0,1200.0,H60,[],175.03,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,9.09
0.0,-75,25.0,,A7,1,none,C6564   ,20.0,2.0,ae2696,30.218948,-81.888695,1359292,[],11.0,1.0,,,,10.0,1.0,6564,25.0,-25.4,2.0,5.9,5.87,3.0,perhour,0.0,1200.0,AS65,[],270.0,adsb_icao,2.0,Cecil Airport,KVQQ,0.62
0.0,1500,1475.0,,A7,1,none,C6031   ,104.7,2.0,ae290e,41.732079,-70.444077,7045302,[],11.0,1.0,,,,10.0,1.0,6031,25.0,-8.7,2.0,0.0,0.0,3.0,perhour,0.0,1200.0,H60,[],206.08,adsb_icao,2.0,Cape Cod Gateway Airport,KHYA,8.26
0.0,1450,1425.0,-192.0,A2,1,none,CGR2713 ,147.5,2.0,ae4ae5,38.636261,-121.35038,28721147,[],10.0,1.0,1408.0,68.2,1015.2,8.0,1.0,2713,186.0,-5.6,2.0,0.3,0.34,3.0,perhour,0.0,1200.0,C27J,['geom_rate'],184.67,adsb_icao,2.0,McClellan Airfield,KMCC,3.03
0.0,ground,-25.0,,A7,1,none,C6545   ,5.8,2.0,ae2685,38.846062,-77.046249,4890050,[],9.0,1.0,,,,8.0,1.0,6545,186.0,-13.5,2.0,0.3,0.32,3.0,perhour,0.0,5147.0,AS65,[],225.0,adsb_icao,2.0,Ronald Reagan Washington National Airport,KDCA,0.54
0.0,2900,3050.0,-448.0,A2,1,none,C2711   ,215.9,2.0,ae4ae3,27.968307,-82.973137,13024401,[],10.0,1.0,2016.0,0.7,1017.6,8.0,1.0,2711,186.0,-6.2,2.0,0.0,0.24,3.0,perhour,0.0,2543.0,C27J,[],75.51,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,15.58
0.0,2700,2275.0,-960.0,A2,1,none,C2301   ,196.9,2.0,ae2237,36.318054,-76.07431,5480932,[],10.0,1.0,2016.0,272.81,1000.8,8.0,1.0,2301,186.0,-9.3,3.0,0.1,0.31,3.0,perhour,0.0,2012.0,CN35,[],95.54,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,5.96
0.0,25,150.0,0.0,A7,1,none,C6551   ,90.3,2.0,ae2689,25.746597,-80.141045,1588515,[],11.0,1.0,,,,10.0,1.0,6551,25.0,-5.0,2.0,0.7,0.75,3.0,perhour,0.0,4426.0,AS65,['baro_rate'],26.28,adsb_icao,2.0,Miami International Airport,KMIA,8.57
0.0,7475,,-7.0,,1,,,148.0,,ae223c,26.575752,-97.272697,4947657,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2305,0.0,-22.3,,1.3,40.0,,,0.0,4521.0,CN35,[],110.0,mlat,,Valley International Airport,KHRL,29.23
0.0,1200,1300.0,0.0,A7,1,none,C6532   ,98.4,2.0,ae267a,42.505096,-124.295944,446706,[],11.0,1.0,,,,8.0,1.0,6532,186.0,-25.7,2.0,35.0,39.61,3.0,perhour,0.0,1200.0,AS65,[],95.25,adsb_icao,2.0,Jack Mc Namara Field Airport,KCEC,43.63
0.0,1350,1550.0,,A3,1,none,C2011   ,170.4,2.0,ae57d5,21.191162,-158.204666,2030360,[],9.0,2.0,1504.0,310.08,1016.8,9.0,1.0,2011,75.0,-25.2,2.0,0.2,0.38,3.0,perhour,0.0,2153.0,C30J,[],356.3,adsb_icao,2.0,Kalaeloa Airport,PHJR,10.26
0.0,900,1075.0,,A3,1,none,C2007   ,163.0,2.0,ae57d1,21.199656,-158.321838,3648343,[],9.0,2.0,,89.3,1016.8,9.0,1.0,2007,75.0,-29.1,2.0,0.9,0.87,3.0,perhour,0.0,1200.0,C30J,[],100.97,adsb_icao,2.0,Kalaeloa Airport,PHJR,15.51
0.0,400,525.0,,A7,1,none,C6607   ,87.8,2.0,ae26be,39.495941,-74.604691,5445729,[],11.0,1.0,,,,10.0,1.0,6607,25.0,-14.5,2.0,0.7,0.68,3.0,perhour,0.0,4437.0,AS65,[],137.77,adsb_icao,2.0,Atlantic City International Airport,KACY,2.63
0.0,3200,3125.0,,A7,1,none,C6047   ,172.3,2.0,ae4dff,44.698837,-85.845078,2528123,[],11.0,1.0,,,,10.0,1.0,6047,25.0,-15.2,2.0,0.2,0.2,3.0,perhour,0.0,1200.0,H60,[],74.51,adsb_icao,2.0,Cherry Capital Airport,KTVC,11.53
0.0,675,675.0,,A7,1,none,C6524   ,123.0,2.0,ae2672,36.346664,-76.182632,85287,[],11.0,1.0,,,,9.0,1.0,6524,75.0,-3.6,2.0,0.5,0.69,3.0,perhour,0.0,1200.0,AS65,[],180.93,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,5.17
